"seed_1964_part_23","seed_1985_part_23","seed_1986_part_23","seed_1956_part_23","seed_1969_part_23","seed_2000_part_23","seed_2004_part_23","seed_2009_part_23","seed_2019_part_23","seed_1947_part_23","seed_1920_part_23","seed_777_part_23","seed_13_part_23","seed_1900_part_23","seed_1800_part_23","seed_1_part_23","seed_2_part_23","seed_4_part_23","seed_7_part_23"
"W","W","W","W","W","W","W","W","W","W","W","W","WO","W","W","W","W","W","WO"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"WO","WO","WO","W","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","WO","W","W","W","WO","W","W","W","W","W","W","W","W","W","W","W","WO","W"
"W","WO","W","W","W","W","W","W","WO","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"WO","W","W","W","W","W","W","W","W","WO","W","W","W","W","W","WO","WO","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","WO","WO","W","W"
"WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO","W","W","W","WO","WO","WO"
"WO","WO","WO","W","W","W","WO","WO","W","WO","WO","W","W","WO","W","W","W","WO","WO"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","WO","WO","WO","W","WO","W","WO","W","WO","WO","W","WO","WO","WO","W","WO","WO"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","WO","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"WO","W","W","W","WO","W","WO","W","WO","WO","W","WO","W","W","W","WO","WO","WO","WO"
"W","W","W","W","W","W","WO","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"WO","WO","WO","WO","W","WO","WO","WO","W","W","W","W","W","W","W","WO","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"WO","W","W","W","W","W","W","W","W","W","W","W","W","W","WO","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","WO","W","W","W","W","W","WO","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","WO","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","WO","W","W","W","W","W","W","W","W","W","W"
"WO","WO","W","W","W","WO","W","W","W","WO","W","W","W","W","WO","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"WO","WO","WO","WO","W","WO","WO","WO","W","WO","WO","WO","WO","WO","WO","WO","WO","WO","WO"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","WO","W","W","W","W","W","WO","WO","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
